Unnamed: 0,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,Name
5,282935706,Bible,92774400,USD,0.0,985920,5320,4.5,5.0,7.5.1,4+,Reference,37,5,45,1,bible
14,284847138,Bank of America - Mobile Banking,160925696,USD,0.0,119773,2336,3.5,4.5,7.3.8,4+,Finance,37,0,2,1,bankofamericamobilebanking
17,284882215,Facebook,389879808,USD,0.0,2974676,212,3.5,3.5,95.0,4+,Social Networking,37,1,29,1,facebook
23,285994151,:) Sudoku +,6169600,USD,2.99,11447,781,5.0,5.0,5.2.6,4+,Games,40,5,1,1,sudoku
29,286911400,Hangman.,4765696,USD,0.0,42316,248,3.0,3.5,2.0.6,9+,Games,38,0,1,1,hangman
34,288429040,LinkedIn,273844224,USD,0.0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,37,2,23,1,linkedin
53,293622097,Google Earth,37214208,USD,0.0,446185,1359,3.5,3.5,7.1.6,4+,Travel,43,5,30,1,googleearth
55,293778748,PAC-MAN,100849664,USD,0.0,508808,99,3.0,4.5,6.3.5,4+,Games,38,5,10,1,pacman
76,298867247,Chase Mobile℠,39505920,USD,0.0,233270,14625,4.5,4.5,2.610,4+,Finance,37,0,2,1,chasemobile
77,299029654,大辞林,210088960,USD,21.99,64,0,4.5,0.0,4.1.1,4+,Reference,37,5,2,1,
79,299515267,Allrecipes Dinner Spinner,36399104,USD,0.0,109349,1540,3.5,5.0,6.3,12+,Food & Drink,37,5,1,1,allrecipesdinnerspinner
80,299853944,新浪新闻-阅读最新时事热门头条资讯视频,115143680,USD,0.0,2229,4,3.5,1.0,6.2.1,17+,News,37,0,1,1,
87,300704847,Speedtest by Ookla,23936000,USD,0.0,65016,274,3.5,5.0,3.8.2,4+,Utilities,38,4,17,1,speedtestbyookla
90,301521403,Nike+ Training Club - Workouts & Fitness Plans,140367872,USD,0.0,33969,466,3.5,5.0,5.4.1,4+,Health & Fitness,37,0,17,1,niketrainingclubworkoutsfitnessplans
91,301724680,Citi Mobile®,281244672,USD,0.0,48822,193,3.5,4.0,8.5.0,4+,Finance,37,0,1,1,citimobile
96,303191318,同花顺-炒股、股票,122886144,USD,0.0,1744,0,3.5,0.0,10.10.46,4+,Finance,37,0,1,1,
105,305343404,Tumblr,151573504,USD,0.0,334293,919,4.0,4.0,8.6,17+,Social Networking,37,5,16,1,tumblr
120,307386350,DIRECTV,151397376,USD,0.0,81006,25,3.5,3.0,4.9.705,4+,Entertainment,37,0,1,1,directv
122,307727765,Doodle Jump,48741376,USD,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,37,0,1,1,doodlejump
125,307906541,Fandango Movies - Times + Tickets,81924096,USD,0.0,291787,589,4.0,5.0,8.6,4+,Entertainment,37,4,1,1,fandangomoviestimestickets
134,309172177,myAT&T,68491264,USD,0.0,108507,628,3.0,3.0,5.3,4+,Utilities,37,5,2,1,myatt
138,309735670,Indeed Job Search,3691520,USD,0.0,38681,563,4.0,4.5,4.3,4+,Business,37,3,28,1,indeedjobsearch
140,310633997,WhatsApp Messenger,135044096,USD,0.0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,12,0,35,1,whatsappmessenger
148,311548709,Wells Fargo Mobile,57328640,USD,0.0,43064,216,3.0,2.5,3.55,4+,Finance,37,0,2,1,wellsfargomobile
155,312325565,USAA Mobile,164382720,USD,0.0,19946,13,4.0,2.5,7.32.3,4+,Finance,37,5,1,1,usaamobile
163,314855255,Best Buy,180500480,USD,0.0,80424,46,4.0,4.5,10.11.0,4+,Shopping,37,5,2,1,bestbuy
169,316391924,Sky News,91697152,USD,0.0,118,0,3.0,0.0,4.6,12+,News,37,5,1,1,skynews
181,319740707,NBC News,52951040,USD,0.0,32881,7,3.5,2.0,5.11.0,12+,News,37,5,1,1,nbcnews
213,326574411,Baby Connect (Activity Log),12937216,USD,4.99,3483,79,4.5,5.0,5.4.3,4+,Medical,37,0,14,1,babyconnectactivitylog
214,326876192,Epson iPrint,53388288,USD,0.0,2838,26,3.0,2.5,6.3.1,4+,Photo & Video,37,5,12,1,epsoniprint
215,326885152,Mad Libs,118498304,USD,0.0,117889,725,3.0,4.5,3.3.3,4+,Entertainment,38,1,1,1,madlibs
222,327630330,Dropbox,180804608,USD,0.0,49578,16,3.5,3.0,50.2,4+,Productivity,37,5,20,1,dropbox
228,329541503,Geocaching®,108166144,USD,0.0,12811,134,3.5,1.5,5.3,4+,Navigation,37,0,22,1,geocaching
232,329981776,Sudoku⁺,1608704,USD,2.99,18332,1007,4.5,5.0,3.4,4+,Games,37,5,2,1,sudoku
238,331177714,Starbucks,135032832,USD,0.0,303856,7027,4.5,4.5,4.3.5,4+,Food & Drink,37,0,2,1,starbucks
239,331259725,央视影音-海量央视内容高清直播,54648832,USD,0.0,2070,0,2.5,0.0,6.2.0,4+,Sports,37,0,1,1,
251,333903271,Twitter,210569216,USD,0.0,354058,452,3.5,4.0,6.79.1,17+,News,37,2,33,1,twitter
264,335744614,NBA,112074752,USD,0.0,43682,19,3.5,2.5,2013.4.3,4+,Sports,37,5,1,1,nba
268,336141475,优酷视频,204959744,USD,0.0,4885,0,3.5,0.0,6.7.0,12+,Entertainment,38,0,2,1,
290,338761996,AirWatch Agent,24747008,USD,0.0,1150,0,2.5,0.0,5.5,4+,Business,37,5,19,1,airwatchagent
294,339532909,Redbox,83906560,USD,0.0,60236,58,3.0,4.5,5.24,12+,Entertainment,37,0,1,1,redbox
311,343555245,DB Navigator,84791296,USD,0.0,512,6,3.5,5.0,17.04.00,4+,Travel,38,0,2,1,dbnavigator
318,344542975,Southwest Airlines,88773632,USD,0.0,30552,18,3.0,2.5,4.5.1,4+,Travel,37,0,1,1,southwestairlines
320,345542655,Star Chart,28616704,USD,0.0,13482,2517,4.5,4.5,3.98,4+,Education,38,5,8,1,starchart
327,347400507,Pocket Yoga,132480000,USD,2.99,4475,95,4.5,4.5,5.3.2,4+,Health & Fitness,37,5,2,1,pocketyoga
343,351091731,大众点评-发现品质生活,244516864,USD,0.0,844,1,4.0,1.0,9.2.4,17+,Lifestyle,37,5,2,1,
354,352509417,The Washington Post Classic,118980608,USD,0.0,18572,307,4.5,4.5,3.8.2,12+,News,37,3,1,1,thewashingtonpostclassic
355,352670055,F-Sim Space Shuttle,76394496,USD,4.99,6403,491,4.5,4.5,2.10,4+,Games,43,5,1,1,fsimspaceshuttle
361,353665650,"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",81876992,USD,0.0,16683,21,3.5,2.5,5.5,4+,Sports,37,5,2,1,univisiondeportesligamxmlsftbolenvivo
375,357218860,Kik,151864320,USD,0.0,260965,228,4.0,3.0,11.21.0,12+,Social Networking,37,0,14,0,kik
386,359917414,Solitaire,101943296,USD,0.0,679055,9673,4.5,4.5,4.11.2,4+,Games,38,4,11,1,solitaire
392,362348516,Amex Mobile,105982976,USD,0.0,11421,57,4.0,2.5,5.21.1,4+,Finance,37,4,1,1,amexmobile
393,362949845,Fruit Ninja Classic,104590336,USD,1.99,698516,132,4.5,4.0,2.3.9,4+,Games,38,5,13,1,fruitninjaclassic
404,363590051,Netflix,125016064,USD,0.0,308844,139,3.5,3.0,9.21.3,4+,Entertainment,37,5,20,1,netflix
434,366247306,▻Sudoku,71002112,USD,0.0,359832,17119,4.5,5.0,5.4,4+,Games,40,5,7,1,sudoku
448,368677368,Uber,283852800,USD,0.0,49466,150,3.0,2.0,3.247.2,4+,Travel,37,4,41,1,uber
450,368948250,WEB.DE Mail,101923840,USD,0.0,168,0,4.0,0.0,6.2,4+,Productivity,37,5,2,1,webdemail
464,370697773,Chase Mobile,34950144,USD,0.0,34322,3167,4.5,4.5,3.620,4+,Finance,24,5,1,1,chasemobile
469,372283316,▻Sudoku +,61595648,USD,4.99,5397,476,5.0,5.0,5.4,4+,Games,40,5,7,1,sudoku
477,373454750,随手记（专业版）-好用的记账理财工具,83899392,USD,0.99,1267,0,4.5,0.0,10.6.3,4+,Finance,38,0,3,1,
493,376183339,TED,84056064,USD,0.0,5782,149,3.5,3.5,3.0.4,12+,Education,37,5,22,1,ted
501,376561911,かなもじ,61272064,USD,3.99,19,0,4.5,0.0,1.9.3,4+,Education,24,5,2,1,
503,377321278,恵方コンパス.,41207059,USD,0.0,0,0,0.0,0.0,2.1.0,4+,Navigation,39,5,1,1,
513,378352300,Edmodo,127939584,USD,0.0,7197,0,3.5,0.0,5.9.2,4+,Education,37,4,4,1,edmodo
517,379256460,「宅建士」過去問題《受験用》,24444928,USD,3.99,0,0,0.0,0.0,5.1,4+,Education,37,0,1,1,
519,379395415,携程旅行-酒店、机票、火车票预订助手,144488448,USD,0.0,312,0,3.5,0.0,7.4.1,17+,Travel,37,5,1,1,
532,381471023,Flashlight Ⓞ,42027008,USD,0.0,130450,1010,5.0,4.5,2.1.2,4+,Utilities,40,0,22,1,flashlight
533,381477230,ゲーム発展国＋＋,191410176,USD,4.99,6,0,4.0,0.0,2.09,4+,Games,38,5,1,1,
538,382045106,カロリー管理（痩せるアプリ）,44402688,USD,3.99,10,0,4.5,0.0,5.4,17+,Health & Fitness,37,0,1,1,
540,382201985,手机百度 - 百度一下你就得到,226406400,USD,0.0,1990,0,4.5,0.0,8.6.5,17+,Utilities,38,0,1,1,
554,385285922,"乐视视频-白鹿原,欢乐颂,奔跑吧全网热播",184689664,USD,0.0,1590,6,4.5,5.0,7.1,17+,Entertainment,38,0,2,1,
556,385724144,ホットペッパービューティー/サロン予約,65892352,USD,0.0,9,0,4.0,0.0,4.14.1,4+,Lifestyle,37,0,1,1,
569,387682726,淘宝 - 随时随地，想淘就淘,309673984,USD,0.0,3801,6,4.0,4.0,6.7.2,4+,Shopping,37,1,1,1,
577,388491656,Fly Delta,140803072,USD,0.0,8094,191,3.0,2.5,4.2.2,4+,Travel,37,0,1,1,flydelta
582,388932995,赶集网-工作生活啥都有！,106115072,USD,0.0,317,0,4.0,0.0,7.9.9,17+,Lifestyle,38,0,1,1,
589,389781154,NFL,131428352,USD,0.0,27317,2,2.5,5.0,14.1.4,4+,Sports,37,1,1,1,nfl
591,389801252,Instagram,113954816,USD,0.0,2161558,1289,4.5,4.0,10.23,12+,Photo & Video,37,0,29,1,instagram
605,391965015,中国建设银行,209245184,USD,0.0,258,0,2.0,0.0,4.0.3.005,17+,Finance,37,0,1,1,
612,392408028,Paprika Recipe Manager,10432512,USD,4.99,1755,83,4.5,4.5,2.2.2,17+,Food & Drink,24,5,16,1,paprikarecipemanager
616,392796698,GroupMe,66864128,USD,0.0,28260,294,4.5,4.5,5.9.0,4+,Social Networking,37,1,14,1,groupme
617,392899425,招商银行,154910720,USD,0.0,306,1,3.5,1.0,5.3.0,12+,Finance,37,0,2,1,
624,393765873,爱奇艺 - 电视剧电影综艺娱乐视频播放器,235160576,USD,0.0,786,0,3.5,0.0,8.5.0,17+,Entertainment,38,0,2,1,
632,395096736,去哪儿旅行-预订机票酒店火车票特价旅游自由行,131723264,USD,0.0,291,0,4.0,0.0,4.10.12,17+,Travel,37,5,1,1,
638,395898626,土豆（短视频分享平台）,88601600,USD,0.0,676,0,3.0,0.0,6.3.3,12+,Entertainment,37,0,1,1,
660,398453262,招商银行信用卡掌上生活,160764928,USD,0.0,122,0,2.5,0.0,5.5.9,17+,Finance,37,0,1,1,
661,398596699,myChevrolet,85515264,USD,0.0,1083,36,2.0,2.5,3.6.0,17+,Lifestyle,37,0,4,1,mychevrolet
668,399363156,腾讯新闻-头条新闻热点资讯掌上阅读软件,114878464,USD,0.0,718,4,4.0,2.5,5.3.6,12+,News,37,0,1,1,
670,399608199,中国银行手机银行,251711488,USD,0.0,192,2,1.5,3.0,3.0.7,4+,Finance,38,0,1,1,
681,401626263,Airbnb,243776512,USD,0.0,22302,0,4.0,0.0,17.22,4+,Travel,37,5,29,1,airbnb
685,401818935,Genius Scan+ - PDF Scanner,43338752,USD,7.99,916,39,4.5,4.5,4.1.6,4+,Business,37,5,10,1,geniusscanpdfscanner
687,402370879,NBA JAM by EA SPORTS™,410202112,USD,4.99,21648,460,4.0,3.5,1.1.35,4+,Games,37,0,8,1,nbajambyeasports
