Name,Google Play Price,App Store Price
All-in-One Mahjong 3,0.99,
All-in-One Mahjong 3 FREE,0.0,
Baby Panda’s Juice Shop,0.0,
Bejeweled Stars: Free Match 3,0.0,
Block Puzzle : Night in Egypt,0.0,
Bo's Matching Game,0.99,
CN Summer Challenge,0.0,
Candy Bomb,0.0,
Candy Day,0.0,
Candy Pop Story,0.0,
Candy Smash,0.0,
Checkers ✔️,0.0,
Chess Free,0.0,
Chess PRO Free,0.0,
Chess School for Beginners,0.0,
Chess and Mate,4.99,
Chess for Kids - Play & Learn,0.0,
Color By Numbers - Art Game for Kids and Adults,0.0,
Crazy Colors: Bubbles Matching,0.0,
Dominos Game ✔️,0.0,
EP Chain Reaction,0.0,
Free games: Masha and the Bear,0.0,
Fruit Boom,0.0,
Fruit Cube Blast,0.0,
Garden Fruit Legend,0.0,
Hactar Go,2.99,
Happy Fruits Bomb - Cube Blast,0.0,
Inside Out Thought Bubbles,0.0,
Jewels Crush- Match 3 Puzzle,0.0,
Kids Animals Jigsaw Puzzles 😄,0.0,
Kids Corner: Interactive Tales and Games for kids,0.0,
Lanterns: The Harvest Festival,4.99,
Low Poly – Puzzle art game,0.0,
Ludo Family Dice Game,0.0,
Mad Libs,0.0,
Mahjong,0.0,
Masha and Bear: Cooking Dash,0.0,
Masha and The Bear Jam Day Match 3 games for kids,0.0,
Masha and The Bear Puzzle Game,0.0,
Masha and the Bear. Educational Games,0.0,
Memorado - Brain Games,0.0,
Mind Games Pro,2.99,
Mosaic puzzles,0.0,
My baby Game (Balloon POP!),0.0,
NeuroNation - Focus and Brain Training,0.0,
"No. Color - Color by Number, Number Coloring",0.0,
No.Draw - Colors by Number 2018,0.0,
Painting By Numbers,0.0,
Peak – Brain Games & Training,0.0,
Pino chess,0.0,
"Pixel art pro-Sand box,paint by number,number draw",0.0,
"Poly Art: Paint by Sticker, Color by Number Puzzle",0.0,
Power Spheres by BoBoiBoy,0.0,
Puzzle Kids - Animals Shapes and Jigsaw Puzzles,0.0,
Sandbox Number Coloring Book Art - Color By Number,0.0,
Start the Hunt for the Lost Treasure,0.0,
Steam: Rails to Riches,4.99,
THE aMAZEing Labyrinth,4.99,
The Hunt for the Lost Treasure,2.99,
Toy Pop Cubes,0.0,
Tsuro - The Game of the Path,2.99,
Where's My Water?,1.99,
Where's My Water? Free,0.0,
Word Search Games in english,0.0,
! OH Fantastic Free Kick + Kick Wall Challenge,,0.0
"""HOOK""",,0.99
"""klocki""",,0.99
*Solitaire*,,0.0
-The 穴通し3D- 君の記憶力x反射神経を問う! ～Mr.CURVEからの挑戦状 ～,,0.0
1+2=3,,0.0
1-Bit Rogue: A dungeon crawler RPG!,,0.0
10 Pin Shuffle Pro Bowling,,3.99
10 – 頭を良くするパズル,,0.0
100 Balls,,0.0
100 PICS Coloring - free color in book game app,,0.0
100 PICS Quiz - guess the picture trivia games,,0.0
100! Block Puzzle - Color jigsaw 10x10 board game,,0.0
1000m Zombie Escape!,,0.0
1010!,,0.0
12オーディンズ - 王道RPG,,0.0
2-bit Cowboy Rides Again,,1.99
2048,,0.0
2XL Snocross,,1.99
2XL Supercross,,4.99
2XL Supercross HD,,4.99
2代目 Nソウル みそぽん,,0.0
30秒マン-これクリアできるやついる？-,,0.0
360 Degree,,0.0
3D Car Racing Simulator Real Drag Race Rivals Road Chase Driving Games,,0.0
3D Dubai Parking Simulator Drive Real Extreme Super Sports Car,,0.0
3D Maze Level 100,,0.0
4 Bilder 1 Wort,,0.0
4 Images 1 Mot,,0.0
4 Pics 1 Word,,0.0
400ステージに挑戦！ばあジャンプ,,0.0
4x4 Dirt Track Trials Forest Driving Parking Sim,,0.0
50 50 - The Addictive Slicing Game,,0.0
5E Spell Book,,0.0
60 Seconds! Atomic Adventure,,3.99
777游戏厅-2017超人气掌上游戏厅,,0.0
8 Ball Pool™,,0.0
8-BIT WATERSLIDE,,0.0
8-Bit RPG Creator,,2.99
80 Days,,4.99
94%,,0.0
