Name,Google Play Price,App Store Price
AU Mobile Indonesia,0.0,
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",0.0,
Au Mobile: Audition Chính Hiệu,0.0,
Au-allstar for KR,0.0,
Avatar Musik,0.0,
Baby Panda Musical Genius,0.0,
Bita and the Animals - Pelos Ares,0.0,
Boomerang,0.0,
Cardi B Piano Game,0.0,
Cartoon Network App,0.0,
Children's Stories 2018 - The Lion Come Lion,0.0,
Classical music for baby,0.0,
Cytus,0.0,
Cytus II,1.99,
DJMAX TECHNIKA Q - Music Game,0.0,
Daniel Tiger for Parents,0.0,
Discovery K!ds Play!,0.0,
Discovery K!ds Play! Español,0.0,
DisneyNOW – TV Shows & Games,0.0,
Dr Dre - Beatmaker,0.0,
J Balvin Piano Tiles,0.0,
Just Dance Now,0.0,
Kidjo TV Kids Have Fun & Learn,0.0,
Kids Balloon Pop Game Free 🎈,0.0,
LEGO® TV,0.0,
Learn Music Notes,1.99,
Love Dance,0.0,
Magic Tiles - Blackpink Edition (K-Pop),0.0,
Magic Tiles - TWICE Edition (K-Pop),0.0,
Magic Tiles 3,0.0,
Masha and The Bear,0.0,
Monica Toy TV,0.0,
My baby Piano,0.0,
Nick,0.0,
Nick Jr. - Shows & Games,0.0,
PBS KIDS Video,0.0,
Perfect Piano,0.0,
Piano Free - Keyboard with Magic Tiles Music Games,0.0,
Piano Kids - Music & Songs,0.0,
PlayKids - Educational cartoons and games for kids,0.0,
Pokémon TV,0.0,
RIDE ZERO,0.0,
Read Unlimitedly! Kids'n Books,0.0,
Rhythm Patrol,0.0,
Super Dancer VN,0.0,
The Noise-O-Meter,0.0,
Toy Guitar with songs for kids,0.0,
Universal Kids,0.0,
Voice Changer,0.0,
YouTube Kids,0.0,
A high end tuner for all instruments!@Tuner,,2.99
A high resolution music player - NePLAYER,,14.99
ARP ODYSSEi,,29.99
AUM - Audio Mixer,,18.99
Acapella from PicPlayPost,,0.0
Addictive Pro,,19.99
Amazon Alexa,,0.0
Amazon Music,,0.0
AmpMe - A Portable Social Party Music Speaker,,0.0
AutoRap by Smule,,0.0
BOSS Tuner,,0.0
Bandsintown Concerts,,0.0
Blocs Wave - Make & Record Music,,0.0
Boom: Best Equalizer & Magical Surround Sound,,0.0
Bose Connect,,0.0
Bose SoundTouch,,0.0
Certified Mixtapes - Hip Hop Albums & Mixtapes,,0.0
Cesium Music Player,,1.99
Cleartune - Chromatic Tuner,,3.99
Cloud Music Player - Downloader & Playlist Manager,,0.0
"Cloud Play Pro - Music Player & Streamer for Dropbox, Google Drive, OneDrive, Box and iPod Library",,0.99
Coach Guitar - Lessons & Easy Tabs For Beginners,,0.0
Composer's Sketchpad,,3.99
Cubasis 2 - Mobile Music Creation System,,49.99
DM2 - The Drum Machine,,4.99
DatPiff,,0.0
Deezer - Listen to your Favorite Music & Playlists,,0.0
Disney Karaoke: Frozen,,6.99
Drillbook Next Reader,,2.99
"Drum Beats+ (Rhythm Metronome, Loops & Grooves Machine)",,3.99
FL Studio Mobile,,13.99
Final Guitar - absolute guitar app,,0.99
"Free Music -  Player & Streamer  for Dropbox, OneDrive & Google Drive",,0.0
Free Music - MP3 Streamer & Playlist Manager Pro,,0.0
Free Music Play - Mp3 Streamer & Player,,0.0
Free Piano app by Yokee,,0.0
Galileo Organ,,9.99
Google Play Music,,0.0
Guitar Pro,,6.99
